Clasificación;Subclasificacion;Monodroga;costo (entrada);Convenio Salida;Convenio Entrada;Transferencia;Lista Entrada;Lista Salida;Fecha;Cliente;Filial OSDE INTERIOR;Formulario;Numero;Cod Prov;Nombre Proveedor;Cod Prod;Nombre Producto;Cant;Precio;percepcion;percep_ib;iva; dto ;Importe;z;Costo Nta. Vta.;Costo total Nta. Vta.;Margen Reposicion;Margen Rep %;
SANTA FE;IAPOS;SOMATROPINA;31.863,37;IAPOS;IAPOS;NO;05/09/2022;212;03/10/2022;60750;;DEVOLUCION A;6000002069;60067;ROFINA SA X C.O. NOVO NORDISK;54789;NORDITROPIN FLEXPRO 5 MG LAPICERAS PRELL. X 1;7;-66.002,69;0;0;0;29;-328.033,37;;31.863,37;223.043,57;-551.076,94;;
SANTA FE;IAPOS;ERITROPOYETINA RECOMB.HUMANA;2.164,69;IAPOS;IAPOS;NO;13/07/2022;212;03/10/2022;60034;;DEVOLUCION A;6000002070;60205;BIOSIDUS S.A.U.;3721521;HEMAX 10000 UI LIOF.F.A+J.PRELL;7;-9.652,17;0;0;0;55;-30.404,34;;2.989,98;20.929,85;-51.334,19;;
SANTA FE;IAPOS;ERITROPOYETINA RECOMB.HUMANA;2.164,69;IAPOS;IAPOS;NO;13/07/2022;212;03/10/2022;60034;;DEVOLUCION A;6000002070;60205;BIOSIDUS S.A.U.;3721521;HEMAX 10000 UI LIOF.F.A+J.PRELL;5;-9.652,17;0;0;0;55;-21.717,38;;2.989,98;14.949,89;-36.667,27;;
SANTA FE;IAPOS INSU;TIRAS REACTIVAS;2.682,72;IAPOS INSU;IAPOS INSU;NO;09/08/2022;212;04/10/2022;65423;;DEVOLUCION A;6000002071;60243;ROFINA SA X CO ROCHE DIABETES;40741;ACCU-CHEK PERFORMA 50;1;-6.622,31;0;0;625,81;55;-2.980,04;;3.273,64;3.273,64;-6.253,68;;
SANTA FE;IAPOS INSU;TIRAS REACTIVAS;2.682,72;IAPOS INSU;IAPOS INSU;NO;09/08/2022;212;04/10/2022;69095;;DEVOLUCION A;6000002072;60243;ROFINA SA X CO ROCHE DIABETES;53862;ACCU-CHEK ACTIVE GLUCOSA NP TIRAS REACTIVAS X 50;1;-7.112,40;0;0;672,12;55;-3.200,58;;3.273,64;3.273,64;-6.474,22;;
SANTA FE;IAPOS;CAPECITABINA;0,00;IAPOS;P.A.M.I.LI;SI;18/08/2022;212;04/10/2022;62006;;DEVOLUCION A;6000002073;66593;LABORATORIO ECZANE PHARMA S.A.;55269;CAPEXAN 500 MG COMP. X 120;1;-17.000,00;0;0;0;33;-11.390,00;;7.249,89;7.249,89;-18.639,89;;
SANTA FE;IAPOS INSU;TIRAS REACTIVAS;2.682,72;IAPOS INSU;IAPOS INSU;NO;26/08/2022;212;06/10/2022;60156;;DEVOLUCION A;6000002086;60243;ROFINA SA X CO ROCHE DIABETES;40741;ACCU-CHEK PERFORMA 50;1;-7.112,40;0;0;672,12;55;-3.200,58;;3.273,64;3.273,64;-6.474,22;;
SANTA FE;IAPOS INSU;TIRAS REACTIVAS;2.682,72;IAPOS INSU;IAPOS INSU;NO;09/08/2022;212;13/10/2022;67289;;DEVOLUCION A;6000002105;60243;ROFINA SA X CO ROCHE DIABETES;40741;ACCU-CHEK PERFORMA 50;1;-7.112,40;0;0;672,12;55;-3.200,58;;3.273,64;3.273,64;-6.474,22;;
CTACTE;CTACTE;ONDANSETRON;150,00;CTACTE;CCESPECIAL;SI;05/09/2022;212;13/10/2022;61106;;DEVOLUCION A;6000002106;60055;MICROSULES ARGENTINA SA;15206;FINABER 8 MG INY.A.X 1 X 4 ML;1;-1.582,02;0;0;0;40;-949,21;;174,90;174,90;-1.124,11;;
SANTA FE;IAPOS;IRINOTECAN;1.411,31;IAPOS;OSDE;SI;02/09/2022;212;13/10/2022;73385;;DEVOLUCION A;6000002107;60235;LABORATORIO KEMEX SA;54784;IRINOTECAN 100 MG KEMEX;2;-6.000,00;0;0;0;57;-5.160,00;;1.738,88;3.477,77;-8.637,77;;
SANTA FE;IAPOS;ONDANSETRON;237,01;IAPOS;IAPOS;NO;06/06/2022;212;13/10/2022;61693;;DEVOLUCION A;6000002108;60077;TUTEUR SACIFIA;22632;TIOSALIS 8 MG F.A.X 1;1;-2.000,00;0;0;0;57;-860,00;;287,01;287,01;-1.147,01;;
